Song,Genre,Main Creature,Summary,Prompt
I Remain,Epic Cinematic Folk-Bass Fusion,dragon and rider,"A monumental reflection on time and past mistakes, concluding with a soaring statement of survival","Create a song called ""nothing will change coz nothing has changed"", in a trending fusion genre. Include lines like ""10 years back i didnt know i had bigger problems"", ""7 years back, I was inspired"", ""5 years back, I thought I did something right"", ""2 years back I learnt some lessons"", but my problems are the same, from 8 years back, from 6 years back, from 3 years back. Nothing will make them different coz they've done the damage and turned me into a disaster which i may not recover from"
Hold On,Soulful Narrative Folk-Rock,A weathered gardener elf ,"A soulful story about resilience, comparing human struggles to the patience required for a garden to bloom",create a song about April showers bringing May flowers for an elf farmer
Over Third Man,Indie-Folk (Narrative),A defiant wizard batsman with elf cheering,"A lyrical tribute to a cricket match at Centurion, focusing on a batsman's unconventional and defiant shot","Create a song about a wizard hitting a ball over third man, which his elf friend first loved at Centurion and has seen it often these days but she loves the wizard because he was one of the first to play that shot"
Total Saturation,Folktronica,"An observer elf watching the world turn into ""Glacier Freeze""",A surreal exploration of a synthetic electrolyte spill that dissolves the boundaries between nature and chemistry.,create a song about painting on glass the pic of a leaf which leaks gatorade
Am I Thirteen Or Thirty?,Medieval Folk-Rock,The Wonder Kid and his Dragon,"A defiant anthem of a ""wonder kid"" who has fought many wars despite his youthful appearance.","Create a song where a male handsome elf with a dragon looks in a mirror and asks himself ""am I 13 or 30? Am I mistaken or are my fellow riders thinking of me as a wonder kid who can't guess their old tactics?"""
Rapid-er,Gypsy Jazz EDM Fusion,"A frustrated flyer seeking a ""rapid-er blade""","A frantic, high-energy obsession with upgrading a ""sick, rotten"" broom for a faster, sharper flight.","Create a fusion EDM song called ""is it a wonderful life? I know not for it is not mine, my broomstick is not the fastest and my life is not wonderful until I switch to a rapid broom"" - sung by a witch with a broomstick."
You Will Never Get It,Himalayan Folk-Trap,"A team of eleven men ""rising from the south""",A passionate statement about building a home and standing tall against the world from the Himalayan peaks.,"create a song called ""you (all) will never get it"" and make it a PluggnB fusion song - make it about the plea for a new cricket stadium in Nepal. Follow-up prompt : give me some more genre options-->Himalayan Folk-Trap.


"
The Prize is Ours,Dark Orchestral Metal / Folk Horror,The Keeper and a Primal Hunter,"A dark tale of hunting for a ""frozen heart"" guarded by an ancient keeper with a sword of iron.",Create a song with male chorus vocals about werewolves waiting for a full moon to transform and find a treasure
Watering Plastic Flowers,Americana / Texas Troubadour Folk,"A weary laborer with a ""heavy pail""","A stoic narrative about the futility of working hard at a ""game that is a cheat.""","Genre: Alternative Folk/Americana. The Vibe: Acoustic guitar driven, building into a cathartic, foot-stomping chorus with layered group vocals.
​Prompt/Concept: ""Watering Plastic Flowers."" Write a song about a person who faithfully tends to a garden every single day, waiting for it to bloom, only to realize the plants were fake from the start. It’s a metaphor for poured love or effort into a dead-end situation.
​Lyric Starter: ""I gave a lot of strength away carrying the heavy pail / Wondering why the green wouldn't take to the veil."""
This Song Does Not Matter,Dreamy Trip-Hop,A mermaid with a lead tail and drying scales,A melancholic reflection on things that are temporary and destined to sink under the surface.,"Give me a song with female vocal chorus - about ""This song does not matter, like most other things"" - it should picture a mermaid on the water surface"
Bull's Eye,Kindie-Rock (Children's Folk-Pop),A group of Elven archers with pointy ears,"A joyful ""lawn championship"" song about the precision and fun of archery at a summer resort.","Create a song which elf friends sing while playing a game of archery in a resort, singing hitting the bull's eye has never been more fun"
this play has ended,Dark Cabaret Punk,"An eccentric, dramatic stage performer witch",A frantic theatrical monologue signaling the final curtain call of a performance,"Unorthodox song structures, atmospheric synths, and a vocal delivery that blends singing with spoken-word or theatrical flair.

Vibe: Quirky, intellectual, and deeply expressive"
It counts for me,Math Rock / Indie Rock Fusion,"The Middleman at the gate and a quiet, weeping soul","A stream-of-consciousness exploration of finding meaning in ""nowhere at all"" through personal grief.","Create a song which a phoenix sings ""i didnt go to A"", "" i didnt go to B"" and ""neither did I go to C"" but I went nowhere which counts for nothing ...it didnt matter to anyone..but it mattered to me..coz I learned to cry better and shed more tears to heal the world..those phoenix tears are there in plenty..just say the word to a middleman and you might get them when you need them..coz you are still young.."
Future Follower,Sci-Fi Melodic Death / Industrial Metal,"A biomechanical cyborg (""Biological Unit One"")","A clinical depiction of a technological ritual where a biological entity is merged with metal to eliminate a ""virus"" and become a cold, systematic follower of a new order.","Create a song called ""future follower"" which is about a witch in a spaceship following what looks like a new planet which is red"
She Is Sick,Synth-pop / Electronic,A virtual entity / AI,"The digital entity travels through the web and appears ""sick"" or glitched to humans. The song explores the allure of her virtual world and the fact that her mind is dispersed across the entire network.","A dark wave and synthpunk electronic track, 120 BPM. Gritty, driving basslines, cold 80s-inspired retro synths, and detached, spoken-word style electronic vocals. Melancholic yet energetic electro-clash vibe, capturing digital burnout and cynical isolation."
Wash It All Away,Acoustic Folk-Pop,An anonymous traveler / Escapist,"A narrator flees the debts and ""agents"" of her old life, traveling to a remote island with no luggage to let the tide wash away her past and start fresh as a ""divine stranger.""","Create a song called ""So long ghosts and their agents"" in a trending fusion genre. Make it about a traveller landing in a magical island to escape from ghosts and sub-ghost agents"
Easy To Read,Pop-rock / Indie Pop,A human narrator navigating a geometric world," Set in a plaza of red robes and rigid black prints, the narrator feels like the ""wrong shape"" in a world of circles and squares, longing for a simple identity that is ""easy to read.""","Create a song called ""a type that is easy to read"" about a crowd of people who wear different colored robes but they all have the same text ""Type Best"" - standing next to different shaped buildings"
Full Of Positivity,Alternative / Pop Rock,A liberated elf narrator,"A celebration of pure, sensory freedom. The narrator experiences a day of fresh bread and open skies, feeling completely ""unattached"" and reduced to the simple joy of being ""just teeth and skin.""","Create a song called ""full of positivity"" which an elf sings after she has eaten in the hills with a group of friends. They have tunics with the text ""no strings attached"""
A Stitch In Time,Indie-folk / Fantasy,A sylvan tailor for elves,"A specialized tailor sews seafoam-colored protective suits for little elves. He prays his craftsmanship is strong enough to protect them from the ""heavy water"" as they venture into the deep ocean","Create a song about ""A Stitch In Time"" in which an old tailor elf makes a swimsuit for kid elves who swim in an ocean"
Survival of the Quickest ,Alternative / Indie Rock,"Two human companions escaping an ""arena""","A high-stakes, frantic getaway where the narrator helps a friend dodge bouncers and guards to escape a stifling, competitive social scene in favor of freedom","Create a song called ""Survival of the Quickest"" and show a cover art of a movie set where one end of the arena has a board called ""Leave this arena"" and on the other end there is a board called ""The Ones Who Live In Victory"""
Fine By Ourselves,Folk-Punk / Dark Cabaret,"A group of goblins and a ""Tall Girl"" (Princess)","A group of goblins rescue a demanding dosa-crazy elf girl from a carriage wreck. They trade their own teeth for the fancy street food she demands, only for her to complain that her chutney isn't acidic enough.","Create a song called ""Fine By Myself"" about a group of goblins trying to raise an elf and feeding her some goblin food instead of dosa which she loves"
affinity for brands - all kinds,Sophisticated Synth-Pop,"The Modern Elf—a sophisticated, supernatural being who prioritizes luxury aesthetics and ""social alchemy.""","The song explores the ""affinity for brands"" held by magical people, viewing luxury labels not just as status symbols, but as modern rituals and ""hexes"" used to navigate high society.","create a song with the lyrics including ""never blind to the affinity for brands - all kinds of them"" about the awareness of the attraction of magical people to big brands"
Who Has Done It?,Dark Cabaret / Witch House,"The Displaced Squib (A ""wannabe witch"" caught between worlds)","A haunting, theatrical exploration of identity and magical glitching. The track follows a slightly middle aged, vulnerable woman who finds herself surrounded by eerie duplicates and ""wrong houses,"" questioning whether she was truly born without magic or if she was simply made to feel like an outsider by a rigid wizarding society.","Dark cabaret meets witch house, 70 BPM, minor key. Haunting female vocals with a theatrical, half-whispered delivery. Detuned music box and harpsichord over a slow trip-hop beat, with ghostly reversed reverb tails and faint choral pads. Vintage tape warble, candlelit atmosphere, gothic and intimate. Builds from sparse and eerie in the verses to a swelling, hypnotic refrain on ""Who has done it?"" — layered vocal echoes like overlapping duplicates. Crackling vinyl texture, distant church organ swells, melancholic and mysterious.         "
A Plastic Arc,Indie Pop ,narrator and a companion,"The story follows a Narrator and Companion who ditch a life of rigid rituals and ""marble halls"" for freedom in the wild. They're at odds with an Authority Figure who looks down on their simplicity, and they mention Spirits they were once expected to summon and bind. In short, it’s a liberation anthem about choosing to be ""hungry and free"" with a simple plastic disc rather than powerful and trapped in a world of complex rituals",Make a song about a pair of homeless wizards sitting on the street because they got kicked out of their magic school for making magic Frisbees
Low Resolution,Glitch Hop,elephant (design in the room),"The track explores the clinical and surreal experience of a distorted design—specifically a blurry elephant print on a ceramic cup. The production is intentionally fragmented, using digital skips and rhythmic cuts to create a sense of low-resolution instability. The lyrics highlight the awkwardness of an unaddressed issue (the ""elephant in the room"") through a lens of digital errors and ink bleeds.",Create a song about a design which is blurry and is an elephant in the room. Suggest some genres which are trending
How Tall is Al?,Psychedelic Trap,"Al, a local urban legend who is impossibly tall","The song follows an obsessed narrator trying to solve the mystery of Al’s exact height, from marking kitchen doorframes to using milk crates just to whisper to him. However, the search ends in a philosophical shift: after seeing Al’s kindness to a stranger, the narrator realizes Al’s ""stature"" is about his spirit, not his inches. The mystery remains unsolved because, ultimately, the numbers don't matter","create a song called ""how tall is Al?"" in a genre that is rap-like but add some funny lyrics about ""it does not matter"" in the end. Give me trending genre options"
Shopping with gusto,UK Garage,"A smooth, high-fashion aficionado.","It’s a sleek, aspirational anthem centered on a high-end shopping spree. The energy is bouncy but refined, trading the glitchy chaos for a polished, expensive-sounding groove. It captures the thrill of the ""find"" and the aesthetic power of a fresh look, blending the urban garage sound with a luxury-focused narrative","cool, can you create a song from this video? Topic is shopping - choose a suitable trending genre

"
Fixed,cross between alternative rock and folk-pop,"a lady stuck in a state of intense vulnerability and waiting. Emotionally, they’re desperate for validation. They aren't just waiting for a diagnosis—they're waiting for an ""expert"" to give them permission to exist and tell them they aren't ""a total wreck.","an anxious, introspective journey—starting with those quiet, acoustic verses that feel very personal and mundane, before exploding into a heavy, high-energy chorus. It captures that feeling of waiting for an expert or someone ""famous"" to finally validate you and tell you that you're okay",create a song about curing sick people with anticipation of the call from the famous and the knowledgable
She watches the surface,Fast-paced indie pop and synth-pop,mermaid,"The heart of the song lies in its sudden comedic pivot. After two minutes of building a grand, elemental crescendo, the music drops out entirely for a deadpan spoken-word anti-climax. The mermaid’s awe instantly vanishes as she realizes the rain has turned her precious surface-world treasures—her magazines and postcards—into wet mush. It's a sharp, self-aware subversion of the ""mystical mermaid"" trope, trading epic wonder for a relatable, ""this is a disaster"" moment of frustration","Create a song about the feeling of getting excited about rain every time there is rain. A fast-paced indie pop and synth-pop song with a quirky, energetic vibe. Features bright synthesizers, a bouncy bassline, and a rapid, almost breathless male/female vocal delivery. The tone is playful, theatrical, and self-aware, building up in excitement before dropping into a sudden, comedic, deadpan spoken-word anti-climax at the end."
Iron Witch,Symphonic Power Metal,witch,"It tells the story of the ""Iron Witch,"" a mystical guardian clad in heavy plate armor, standing her ground on a sacred mountain. The lyrics capture the tension and fury as she prepares to repel foreign invaders from across the seas, using a mix of ancient magic and martial steel to defend her homeland","Create a song called ""Generally in Battle"" about a witch who wears a warrior apparel and is preparing to fight foreign enemies from different parts of the world"
I am not upset but some seeds were,smooth bossa nova,pickleball players,"a quirky, observational track that juxtaposes the low-stakes intensity of a pickleball match with the ""tragedy"" of a spilled jar of chia seed pudding. The song follows four players in ""coordinated polyester"" whose game continues uninterrupted even as a glass container shatters on the hot asphalt.It’s a humorous, slightly existential look at a ""mechanical inconvenience"" where the only ones truly suffering are the superfoods that never made it to a digestive tract.","create a song called ""I am not upset but some seeds were"", make it about four players playing pickleball, and nearby some chia seed pudding falls. that line ""I am not upset but some seeds were"" should be there in the song"
She Was Just Tenacious and Not The Most,"chamber folk, blended with a bit of cynical indie folk",elf who loses to a better player and a champion,"It’s a weary, intellectual reflection on the gap between natural-born talent and sheer persistence. Set in a whimsical tavern, the song uses sharp, satirical lyrics to describe a card-playing elf who realizes her hard work is no match for her opponent’s ""divine inheritance."" The sound is intimate and analytical, led by fingerpicked acoustic guitar and a lonely glockenspiel","create a song called ""She was just tenacious and not the most"" about an elf who lost a game against a better player"
Drink The Salt Away,Cozy Indie Pop,a young witch in a barista,"the story of a young witch who uses her craft not for grand spells, but for the quiet mending of her community. Each latte is a calculated infusion—dried fennel to lift heavy spirits, or a single bluebell petal to soothe a weary baker’s physical and mental strain. The song highlights the contrast between the ""heavy granite"" and ""tectonic plates"" of the villagers' stress and the delicate, warm ""anchor"" of the ceramic cups she serves. It's a narrative about finding a soft tether back from the precipice, where the steam rising from a cup acts as a quiet ghost that carries away the ""architecture of grief.""","Song Topic : The Barista Witch
Story Idea: A young witch opens a cozy café where she uses harmless potion-brewing skills to make the perfect, mood-boosting lattes for stressed-out villagers.
Music Genre Prompt: Cozy Indie Pop mixed with Lo-Fi Beats, featuring acoustic guitar and subtle, sparkling chimes.
Cover Art Prompt: Vibrant cartoon style. A cheerful teenage witch with a pointy hat pouring a glowing, sparkly pink latte behind a wooden coffee shop counter. Warm lighting, pastel colors."
Across the valley floor,Upbeat Electro-Swing ,a pair of centaurs,"Set against the backdrop of a sunlit meadow, the narrative follows a group of centaurs who choose to suspend their customary archery practice in favor of a spirited dance competition.The lyrics detail the transition from the discipline of the hunt to the rhythmic freedom of the dance floor, emphasizing a graceful, four-hooved movement that transforms a traditional training ground into a vibrant ballroom","Song Topic: Ballroom of the Centaurs
Story Idea: A group of centaurs decides to ditch their traditional archery practice for a day to host a massive, high-energy dance competition in a sunlit meadow.
Music Genre Prompt: Upbeat Electro-Swing with a driving brass section and a bouncy synth bass.
Cover Art Prompt: Colorful 90s cartoon style. Two joyful centaurs doing a swing dance routine in a bright green field filled with daisies. Energetic motion lines."
The Dragon's Bakery,Tropical Ska-Punk,a dragon in a bakery,"An energetic, manic-but-joyful anthem about a friendly red dragon who uses his fire-breathing gift to run the kingdom's most popular bakery. The sound is driven by bright trumpet lines and staccato guitar upstrokes that capture the heat of the oven and the rush of the morning queue","Song Topic : The Dragon's Bakery
Story Idea: A friendly, oversized red dragon realizes his fire-breathing talent is perfect for baking giant batches of pastries, opening the most popular bakery in the kingdom.
Music Genre Prompt: Happy, tropical Ska-Punk with energetic horns and a fast, skanking rhythm.
Cover Art Prompt: Modern 2D animation style. A large, smiling red dragon wearing a white chef's hat, holding a tray of perfectly golden, steaming croissants."
